"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","100%"
"POST /PHP/SearchItemsByCategory.php?category=1&categoryName=Antiques+%26+Art+",100,270,280,290,290,340,410,450,660,660,660,660
"POST /PHP/SearchItemsByCategory.php?category=1&categoryName=Books+",122,270,280,280,290,330,360,390,430,440,440,440
"POST /PHP/SearchItemsByCategory.php?category=1&categoryName=Business%2C+Office+%26+Industrial+",88,270,270,280,290,320,380,850,860,860,860,860
"POST /PHP/SearchItemsByCategory.php?category=1&categoryName=Clothing+%26+Accessories+",97,270,280,280,280,310,350,510,1200,1200,1200,1200
"POST /PHP/SearchItemsByCategory.php?category=1&categoryName=Coins+",107,270,280,290,300,360,430,760,810,3900,3900,3900
"POST /PHP/SearchItemsByCategory.php?category=1&categoryName=Computers+",109,270,280,300,320,350,520,3700,4000,5400,5400,5400
"POST /PHP/SearchItemsByCategory.php?category=10&categoryName=Antiques+%26+Art+",116,270,280,280,290,340,480,850,900,4800,4800,4800
"POST /PHP/SearchItemsByCategory.php?category=10&categoryName=Books+",99,270,280,290,290,360,420,560,4100,4100,4100,4100
"POST /PHP/SearchItemsByCategory.php?category=10&categoryName=Business%2C+Office+%26+Industrial+",101,270,290,300,320,360,380,1000,4300,4800,4800,4800
"POST /PHP/SearchItemsByCategory.php?category=10&categoryName=Clothing+%26+Accessories+",101,270,290,300,300,390,500,730,770,910,910,910
"POST /PHP/SearchItemsByCategory.php?category=10&categoryName=Coins+",88,270,280,280,290,380,450,640,4800,4800,4800,4800
"POST /PHP/SearchItemsByCategory.php?category=10&categoryName=Computers+",106,260,270,280,290,300,370,530,540,5300,5300,5300
"POST /PHP/SearchItemsByCategory.php?category=11&categoryName=Antiques+%26+Art+",107,270,280,290,300,340,360,360,400,410,410,410
"POST /PHP/SearchItemsByCategory.php?category=11&categoryName=Books+",117,260,280,280,290,340,390,530,5500,5500,5500,5500
