"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1594479185",66,0,0.00,0.00,110,113,93,156.26,1394.36,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1594479187",100,0,0.00,0.00,110,114,93,156.26,1394.24,110,110,120,130,130,140,140,140,140,140,140,140
"None","Aggregated","1594479189",100,0,0.00,0.00,110,114,93,156.26,1394.24,110,110,120,130,130,140,140,140,140,140,140,140
"None","Aggregated","1594479191",120,0,20.00,0.00,110,113,93,156.26,1394.23,110,110,110,120,130,140,140,140,140,140,140,140
"None","Aggregated","1594479193",172,0,16.71,0.00,110,113,93,156.33,1394.71,110,110,110,110,130,140,140,140,160,160,160,160
"None","Aggregated","1594479195",199,0,18.56,0.00,110,113,93,156.33,1394.86,110,110,110,110,130,140,160,160,160,160,160,160
"None","Aggregated","1594479197",210,0,14.60,0.00,110,113,93,156.33,1394.85,110,110,110,110,110,140,160,160,160,160,160,160
"None","Aggregated","1594479199",231,0,10.50,0.00,110,112,93,156.33,1394.12,110,110,110,110,110,130,160,160,160,160,160,160
"None","Aggregated","1594479201",267,0,12.50,0.00,110,112,93,156.33,1393.76,110,110,110,110,110,120,140,160,160,160,160,160
"None","Aggregated","1594479203",301,0,14.10,0.00,110,112,93,187.50,1393.77,110,110,110,110,110,130,140,140,190,190,190,190
"None","Aggregated","1594479205",318,0,13.10,0.00,110,112,93,187.50,1394.03,110,110,110,110,110,120,140,140,190,190,190,190
"None","Aggregated","1594479207",353,0,11.40,0.00,110,112,93,187.50,1393.97,110,110,110,110,110,130,140,170,190,190,190,190
"None","Aggregated","1594479209",378,0,13.40,0.00,110,112,93,187.50,1393.73,110,110,110,110,110,130,170,170,190,190,190,190
"None","Aggregated","1594479211",400,0,14.60,0.00,110,112,93,187.50,1393.73,110,110,110,110,110,110,170,170,170,170,170,170
"None","Aggregated","1594479213",428,0,13.40,0.00,110,112,93,187.50,1393.99,110,110,110,110,110,120,170,170,170,170,170,170
"None","Aggregated","1594479216",450,0,12.00,0.00,110,112,93,187.50,1394.01,110,110,110,110,110,130,170,170,170,170,170,170
"None","Aggregated","1594479218",489,0,13.00,0.00,110,112,93,187.50,1393.65,110,110,110,110,140,160,170,170,170,170,170,170
"None","Aggregated","1594479220",509,0,13.10,0.00,110,113,93,187.50,1393.46,110,110,110,110,140,160,170,170,170,170,170,170
"None","Aggregated","1594479222",532,0,12.90,0.00,110,112,93,187.50,1393.47,110,110,110,110,140,160,170,170,170,170,170,170
"None","Aggregated","1594479224",562,0,12.90,0.00,110,112,93,187.50,1393.52,110,110,110,110,130,160,170,170,170,170,170,170
"None","Aggregated","1594479226",593,0,12.90,0.00,110,112,93,187.50,1393.45,110,110,110,110,110,120,140,170,170,170,170,170
"None","Aggregated","1594479228",621,0,13.90,0.00,110,112,93,187.50,1393.55,110,110,110,110,110,110,130,130,140,140,140,140
"None","Aggregated","1594479230",642,0,12.90,0.00,110,112,93,187.50,1393.32,110,110,110,110,110,120,140,140,140,140,140,140
"None","Aggregated","1594479232",661,0,12.80,0.00,110,112,93,187.50,1393.44,110,110,110,110,110,130,140,140,140,140,140,140
"None","Aggregated","1594479234",697,0,12.80,0.00,110,112,93,187.50,1393.42,110,110,110,110,110,130,140,140,140,140,140,140
"None","Aggregated","1594479236",723,0,12.90,0.00,110,112,93,187.50,1393.38,110,110,110,110,110,140,140,140,160,160,160,160
"None","Aggregated","1594479238",746,0,12.40,0.00,110,112,93,187.53,1393.37,110,110,110,110,120,140,160,190,190,190,190,190
"None","Aggregated","1594479240",773,0,12.60,0.00,110,112,93,187.53,1393.26,110,110,110,110,120,140,160,190,190,190,190,190
"None","Aggregated","1594479242",805,0,12.80,0.00,110,113,93,1127.94,1393.33,110,110,110,110,110,140,190,190,1100,1100,1100,1100
"None","Aggregated","1594479244",823,0,13.50,0.00,110,113,93,1127.94,1393.29,110,110,110,110,120,140,190,190,1100,1100,1100,1100
"None","Aggregated","1594479246",855,0,12.70,0.00,110,113,93,1127.94,1393.34,110,110,110,110,110,140,160,170,1100,1100,1100,1100
"None","Aggregated","1594479249",883,0,12.70,0.00,110,113,93,1127.94,1393.20,110,110,110,110,110,160,170,170,1100,1100,1100,1100
"None","Aggregated","1594479251",908,0,13.20,0.00,110,113,93,1127.94,1393.03,110,110,110,110,110,160,160,170,170,170,170,170
"None","Aggregated","1594479253",933,0,13.00,0.00,110,113,93,1127.94,1393.06,110,110,110,110,110,160,170,170,170,170,170,170
"None","Aggregated","1594479255",960,0,12.30,0.00,110,113,93,1127.94,1393.01,110,110,110,110,130,160,170,170,170,170,170,170
"None","Aggregated","1594479257",996,0,13.00,0.00,110,113,93,1127.94,1392.96,110,110,110,110,130,160,190,190,200,200,200,200
"None","Aggregated","1594479259",1016,0,13.50,0.00,110,113,93,1127.94,1392.92,110,110,110,110,130,160,190,190,200,200,200,200
